         1417048 function calls (1366078 primitive calls) in 36.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.556    0.556 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\arraymath.py:1(<module>)
      4/2    0.000    0.000    0.555    0.278 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typeinfer.py:1055(propagate)
     10/4    0.001    0.000    0.555    0.139 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typeinfer.py:147(propagate)
        1    0.001    0.001    0.552    0.552 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\old_arraymath.py:1(<module>)
   134/36    0.002    0.000    0.543    0.015 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typeinfer.py:568(resolve)
   134/36    0.000    0.000    0.541    0.015 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typeinfer.py:1522(resolve_call)
   134/36    0.000    0.000    0.541    0.015 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:188(resolve_function_type)
   134/36    0.001    0.000    0.540    0.015 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:232(_resolve_user_function_type)
        1    0.000    0.000    0.532    0.532 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\old_arraymath.py:31(_check_blas)
        1    0.000    0.000    0.532    0.532 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\linalg.py:66(ensure_blas)
    52/18    0.000    0.000    0.530    0.029 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typeinfer.py:558(__call__)
        1    0.000    0.000    0.530    0.530 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\linalg\__init__.py:1(<module>)
        6    0.000    0.000    0.517    0.086 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\types\functions.py:531(get_call_type)
        6    0.000    0.000    0.516    0.086 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:304(get_call_template)
        5    0.000    0.000    0.510    0.102 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:747(finalize)
    19/12    0.000    0.000    0.461    0.038 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:565(_ensure_finalized)
        3    0.000    0.000    0.445    0.148 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\cpu.py:225(get_executable)
        2    0.000    0.000    0.444    0.222 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:2755(plot)
        3    0.000    0.000    0.444    0.148 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:983(get_pointer_to_function)
        6    0.000    0.000    0.441    0.074 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:2260(gca)
      227    0.007    0.000    0.426    0.002 <frozen importlib._bootstrap_external>:950(get_code)
      4/2    0.000    0.000    0.408    0.204 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:188(lower)
        7    0.000    0.000    0.396    0.057 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:833(gcf)
        1    0.000    0.000    0.396    0.396 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:665(figure)
        1    0.000    0.000    0.396    0.396 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:303(new_figure_manager)
        1    0.000    0.000    0.396    0.396 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backend_bases.py:3487(new_figure_manager)
        1    0.000    0.000    0.395    0.395 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backends\_backend_tk.py:916(new_figure_manager_given_figure)
      4/2    0.000    0.000    0.358    0.179 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:224(lower_normal_function)
      4/2    0.000    0.000    0.355    0.178 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:241(lower_function_body)
    37/35    0.001    0.000    0.354    0.010 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:266(lower_block)
  325/301    0.003    0.000    0.349    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:455(lower_inst)
  130/118    0.001    0.000    0.304    0.003 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:664(lower_assign)
      230    0.003    0.000    0.294    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
    61/56    0.001    0.000    0.292    0.005 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:1242(lower_expr)
      907    0.288    0.000    0.288    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.283    0.283 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\tkinter\__init__.py:2279(__init__)
        1    0.281    0.281    0.281    0.281 {built-in method _tkinter.create}
      880    0.002    0.000    0.281    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   265/19    0.000    0.000    0.275    0.014 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:152(refresh)
        5    0.000    0.000    0.275    0.055 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:789(_finalize_final_module)
        1    0.000    0.000    0.274    0.274 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\linalg\_sketches.py:1(<module>)
        1    0.000    0.000    0.269    0.269 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\sparse\__init__.py:1(<module>)
      288    0.005    0.000    0.266    0.001 <frozen importlib._bootstrap>:921(_find_spec)
      287    0.001    0.000    0.258    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
      287    0.002    0.000    0.257    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
      230    0.252    0.001    0.252    0.001 {built-in method io.open_code}
      310    0.006    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        5    0.000    0.000    0.241    0.048 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:1004(_finalize_specific)
    46/43    0.000    0.000    0.238    0.006 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:1189(__call__)
    46/43    0.000    0.000    0.238    0.006 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:1218(wrapper)
       10    0.000    0.000    0.231    0.023 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:1066(wrapper)
        5    0.000    0.000    0.230    0.046 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
      8/7    0.000    0.000    0.224    0.032 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\_api\deprecation.py:381(wrapper)
        5    0.000    0.000    0.213    0.043 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        1    0.000    0.000    0.212    0.212 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\pyplot.py:955(savefig)
        1    0.000    0.000    0.212    0.212 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\figure.py:2896(savefig)
        1    0.000    0.000    0.212    0.212 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backend_bases.py:2192(print_figure)
        1    0.000    0.000    0.211    0.211 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backend_bases.py:1595(wrapper)
    18/16    0.000    0.000    0.211    0.013 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:914(lower_call)
        1    0.000    0.000    0.210    0.210 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backends\backend_agg.py:490(print_png)
    18/16    0.000    0.000    0.210    0.013 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\lowering.py:1214(_lower_call_normal)
        1    0.000    0.000    0.203    0.203 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\arrayobj.py:5062(array_copy)
        1    0.000    0.000    0.203    0.203 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\arrayobj.py:5016(_array_copy)
        1    0.000    0.000    0.199    0.199 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\np\arrayobj.py:4241(_empty_nd_impl)
       10    0.000    0.000    0.193    0.019 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\llvmlite\binding\passmanagers.py:685(run)
        1    0.000    0.000    0.182    0.182 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\backends\backend_agg.py:429(draw)
        1    0.000    0.000    0.180    0.180 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\artist.py:71(draw_wrapper)
    113/1    0.001    0.000    0.180    0.180 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\artist.py:32(draw_wrapper)
        1    0.000    0.000    0.180    0.180 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\figure.py:2786(draw)
      2/1    0.000    0.000    0.179    0.179 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        1    0.000    0.000    0.179    0.179 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\axes\_base.py:3013(draw)
        1    0.000    0.000    0.167    0.167 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\sparse\csgraph\__init__.py:1(<module>)
  130/128    0.004    0.000    0.164    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\types\functions.py:281(get_call_type)
   265/19    0.001    0.000    0.163    0.009 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:394(_load_builtins)
 2385/171    0.016    0.000    0.150    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:407(install_registry)
     1777    0.003    0.000    0.148    0.000 {built-in method builtins.sorted}
      265    0.003    0.000    0.147    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\context.py:723(load_additional_registries)
      262    0.000    0.000    0.146    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\entrypoints.py:11(init_all)
        1    0.000    0.000    0.146    0.146 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:237(_compilation_chain_init_hook)
        1    0.000    0.000    0.145    0.145 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\metadata\__init__.py:999(entry_points)
